,score,state
0,0.0,alaska
1,0.35185185185185186,alabama
2,0.5714285714285714,arkansas
3,0.4409937888198758,arizona
4,0.4650602409638554,california
5,0.5192307692307693,colorado
6,0.7,connecticut
7,0.5654320987654321,delaware
8,0.417910447761194,florida
9,0.5179968701095462,georgia
10,0.5416666666666666,hawaii
11,0.875,iowa
12,1.0,idaho
13,0.4146341463414634,illinois
14,0.6078431372549019,indiana
15,0.2222222222222222,kansas
16,0.5714285714285714,kentucky
17,0.7096774193548387,louisiana
18,0.4216417910447761,massachusetts
19,0.5254515599343186,maryland
20,0.625,maine
21,0.4485981308411215,michigan
22,0.42857142857142855,minnesota
23,0.2653061224489796,missouri
24,0.3,mississippi
25,1.0,montana
26,0.42592592592592593,north carolina
27,1.0,north dakota
28,0.75,nebraska
29,0.3157894736842105,new hampshire
30,0.5504407443682664,new jersey
31,0.375,new mexico
32,0.3706896551724138,nevada
33,0.532520325203252,new york
34,0.3972602739726027,ohio
35,0.40540540540540543,oklahoma
36,0.5245901639344263,oregon
37,0.5553097345132744,pennsylvania
38,0.4444444444444444,rhode island
39,0.45454545454545453,south carolina
40,0.0,south dakota
41,0.34,tennessee
42,0.46107784431137727,texas
43,0.5217391304347826,utah
44,0.4838709677419355,virginia
45,0.2857142857142857,vermont
46,0.42574257425742573,washington
47,0.547945205479452,wisconsin
48,0.2,west virginia
49,0.8,wyoming
